Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,Awards,Player,PlayerID
2013,24,KAN,TE,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,,,,0.0,0.0,0,,0,0,0,0,,Travis Kelce,KelcTr00
2014,25,KAN,TE,16,11,87,67,862,12.9,5,46,69.0,34,4.2,53.9,77.0,9.9,0,0,0,0,,,,0.0,0.0,67,12.9,862,5,4,9,,Travis Kelce,KelcTr00
2015,26,KAN,TE,16,16,103,72,875,12.2,5,40,55.3,42,4.5,54.7,69.9,8.5,0,0,0,0,,,,0.0,0.0,72,12.2,875,5,2,9,PB,Travis Kelce,KelcTr00
2016,27,KAN,TE,16,15,117,85,1125,13.2,4,55,63.2,80,5.3,70.3,72.6,9.6,1,-5,0,0,0.0,-5,-5.0,-0.3,0.1,86,13.0,1120,4,0,10,"PB,AP-1",Travis Kelce,KelcTr00
2017,28,KAN,TE,15,15,122,83,1038,12.5,8,53,54.1,44,5.5,69.2,68.0,8.5,2,7,0,2,100.0,4,3.5,0.5,0.1,85,12.3,1045,8,0,10,"PB,AP-2",Travis Kelce,KelcTr00
2018,29,KAN,TE,16,16,150,103,1336,13.0,10,68,62.7,43,6.4,83.5,68.7,8.9,0,0,0,0,,,,0.0,0.0,103,13.0,1336,10,2,14,"PB,AP-1",Travis Kelce,KelcTr00
2019,30,KAN,TE,16,16,136,97,1229,12.7,5,65,64.0,47,6.1,76.8,71.3,9.0,1,4,1,1,100.0,4,4.0,0.3,0.1,98,12.6,1233,6,1,13,"PB,AP-2",Travis Kelce,KelcTr00
2020,31,KAN,TE,15,15,145,105,1416,13.5,11,79,66.2,45,7.0,94.4,72.4,9.8,0,0,0,0,,,,0.0,0.0,105,13.5,1416,11,1,12,"PB,AP-1,AP OPoY-4",Travis Kelce,KelcTr00
2021,32,KAN,TE,16,16,134,92,1125,12.2,9,80,60.4,69,5.8,70.3,68.7,8.4,2,3,1,1,50.0,4,1.5,0.2,0.1,94,12.0,1128,10,1,11,"PB,AP-2",Travis Kelce,KelcTr00
2022,33,KAN,TE,17,17,152,110,1338,12.2,12,82,63.2,52,6.5,78.7,72.4,8.8,2,5,0,1,100.0,4,2.5,0.3,0.1,112,12.0,1343,12,1,12,"PB,AP-1,AP OPoY-6",Travis Kelce,KelcTr00
2023,34,KAN,TE,15,15,121,93,984,10.6,5,61,62.0,53,6.2,65.6,76.9,8.1,0,0,0,1,,,,0.0,0.0,93,10.6,984,5,1,8,PB,Travis Kelce,KelcTr00
2024,35,KAN,TE,16,16,133,97,823,8.5,3,54,60.2,38,6.1,51.4,72.9,6.2,1,1,0,0,100.0,1,1.0,0.1,0.1,98,8.4,824,3,2,8,PB,Travis Kelce,KelcTr00
2025,36,KAN,TE,17,17,108,76,851,11.2,5,46,61.1,44,4.5,50.1,70.4,7.9,1,1,0,0,0.0,1,1.0,0.1,0.1,77,11.1,852,5,1,8,PB,Travis Kelce,KelcTr00
