Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2013,23,PHI,TE,16,3,57,36,469,13.0,4,25,50.9,38,2.3,29.3,63.2,8.2,0,0,0,0,,,,0.0,0.0,36,13.0,469,4,0,4,,Zach Ertz,ErtzZa00
2014,24,PHI,TE,16,5,89,58,702,12.1,3,42,58.4,35,3.6,43.9,65.2,7.9,0,0,0,0,,,,0.0,0.0,58,12.1,702,3,1,5,,Zach Ertz,ErtzZa00
2015,25,PHI,TE,15,7,112,75,853,11.4,2,40,51.8,60,5.0,56.9,67.0,7.6,0,0,0,0,,,,0.0,0.0,75,11.4,853,2,1,6,,Zach Ertz,ErtzZa00
2016,26,PHI,TE,14,12,106,78,816,10.5,4,42,57.5,30,5.6,58.3,73.6,7.7,0,0,0,0,,,,0.0,0.0,78,10.5,816,4,0,7,,Zach Ertz,ErtzZa00
2017,27,PHI,TE,14,13,110,74,824,11.1,8,46,56.4,53,5.3,58.9,67.3,7.5,0,0,0,0,,,,0.0,0.0,74,11.1,824,8,1,8,PB,Zach Ertz,ErtzZa00
2018,28,PHI,TE,16,16,156,116,1163,10.0,8,66,57.1,34,7.3,72.7,74.4,7.5,0,0,0,0,,,,0.0,0.0,116,10.0,1163,8,1,9,PB,Zach Ertz,ErtzZa00
2019,29,PHI,TE,15,15,135,88,916,10.4,6,50,56.3,30,5.9,61.1,65.2,6.8,0,0,0,0,,,,0.0,0.0,88,10.4,916,6,1,7,PB,Zach Ertz,ErtzZa00
2020,30,PHI,TE,11,11,72,36,335,9.3,1,16,38.9,42,3.3,30.5,50.0,4.7,0,0,0,0,,,,0.0,0.0,36,9.3,335,1,0,3,,Zach Ertz,ErtzZa00
2021,31,2TM,TE,17,14,112,74,763,10.3,5,42,50.0,47,4.4,44.9,66.1,6.8,1,4,0,0,100.0,4,4.0,0.2,0.1,75,10.2,767,5,0,8,,Zach Ertz,ErtzZa00
2022,32,ARI,TE,10,10,69,47,406,8.6,4,24,55.1,32,4.7,40.6,68.1,5.9,0,0,0,0,,,,0.0,0.0,47,8.6,406,4,0,3,,Zach Ertz,ErtzZa00
2023,33,ARI,TE,7,7,43,27,187,6.9,1,8,41.9,17,3.9,26.7,62.8,4.3,0,0,0,0,,,,0.0,0.0,27,6.9,187,1,0,2,,Zach Ertz,ErtzZa00
2024,34,WAS,TE,17,17,91,66,654,9.9,7,51,63.7,37,3.9,38.5,72.5,7.2,0,0,0,0,,,,0.0,0.0,66,9.9,654,7,1,7,AP CPoY-17,Zach Ertz,ErtzZa00
2025,35,WAS,TE,13,13,72,50,504,10.1,4,25,51.4,30,3.8,38.8,69.4,7.0,0,0,0,0,,,,0.0,0.0,50,10.1,504,4,1,5,,Zach Ertz,ErtzZa00
